ingredient_id,korean,english
1,부틸옥틸살리실레이트,Butyloctyl Salicylate
2,트라이에톡시카프릴릴실레인,Triethoxycaprylylsilane
3,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,Ammonium Acryloyldimethyltaurate/VP Copolymer
4,폴리아크릴레이트크로스폴리머-6,Polyacrylate Crosspolymer-6
5,시메티콘,Simethicone
6,하이드록시에틸셀룰로오스,Hydroxyethylcellulose
7,디에칠아미노하이드록시벤조일헥실벤조에이트,Diethylamino Hydroxybenzoyl Hexyl Benzoate
8,에칠헥실트리아존,Ethylhexyl Triazone
9,메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol
10,디에칠헥실부타미도트리아존,Diethylhexyl Butamido Triazone
11,폴리메틸실세스퀴옥세인,Polymethylsilsesquioxane
12,카프릴릴메티콘,Caprylyl Methicone
13,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,Acrylates/C10-30 Alkyl Acrylate Crosspolymer
14,폴리C10-30알킬아크릴레이트,Poly C10-30 Alkyl Acrylate
15,트로메타민,Tromethamine
16,카보머,Carbomer
17,C12-15알킬벤조에이트,C12-15 Alkyl Benzoate
18,다이실록세인,"Disiloxane"
19,라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘,Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone
20,아이소도데케인,Isododecane
21,폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘,Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone
22,메틸메타크릴레이트크로스폴리머,Methyl Methacrylate Crosspolymer
23,비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer
24,미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이,Myristoyl/Palmitoyl Oxostearamide/Arachamide MEA
25,페네틸알코올,Phenethyl Alcohol
26,팔미토일팔미타마이드엠이에이,Palmitoyl Palmitamide MEA
27,글리세레스-26,Glycereth-26
28,폴리아마이드-3,Polyamide-3
29,비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,Vinyl Dimethicon